gene_id	transcript_id(s)	Control_R1	Control_R2	Control_R3	Control_R4	DPN_R1	DPN_R2	DPN_R3	DPN_R4	OHT_R1	OHT_R2	OHT_R3	OHT_R4
A1BG	NM_130786.3	71.48	34.00	36.63	31.99	83.88	56.00	57.17	60.42	39.49	45.00	31.65	52.70
A1BG-AS1	rna78507	63.70	29.62	25.80	38.89	59.85	40.47	25.48	47.12	48.31	41.22	20.56	77.82
A1CF	NM_001198818.1,NM_001198819.1,NM_001198820.1,NM_014576.3,NM_138932.2,NM_138933.2,XM_005269718.1,XM_005269719.1,XM_005269720.1,XM_006717808.1,XM_006717809.1	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
A2M	NM_000014.4,XM_006719056.1	317.00	148.00	570.00	172.00	291.00	191.00	945.72	295.00	214.77	230.00	574.46	359.00
A2M-AS1	rna51878	3.00	4.00	2.00	0.00	4.00	0.00	5.28	5.00	4.23	2.00	5.54	3.00
A2ML1	NM_001282424.1,NM_144670.4	10.00	6.00	3.00	13.00	4.00	4.00	2.00	26.00	11.00	4.00	1.00	32.00
A2MP1	rna51882	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A3GALT2	NM_001080438.1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
A4GALT	NM_017436.4,XM_005261643.1,XM_005261644.1,XM_005261646.2,XM_005261647.1,XM_005261648.1,XM_006724265.1,XM_006724266.1,XM_006724267.1	22.00	18.00	75.00	31.00	41.00	24.00	152.00	57.00	25.00	24.00	69.00	80.00
A4GNT	NM_016161.2	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
AA06	rna68578	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AAAS	NM_001173466.1,NM_015665.5,XM_006719617.1,XM_006719618.1,XM_006719619.1	374.00	237.00	206.00	227.00	404.00	292.00	431.00	464.00	304.00	288.00	196.00	476.00
AACS	NM_023928.3,XM_005253609.1,XM_005253610.1,XM_005253611.1,rna55618	557.00	530.00	655.00	451.00	558.00	658.00	1435.00	912.00	378.00	587.00	597.00	980.00
AACSP1	rna27035	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADAC	NM_001086.2,XM_005247103.2,XM_005247104.2	0.00	0.00	2.00	12.00	0.00	0.00	6.00	17.00	1.00	0.00	5.00	9.00
AADACL2	NM_207365.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACL3	NM_001103169.1,NM_001103170.1,XM_006710337.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACL4	NM_001013630.1,XM_006710608.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADAT	NM_001286682.1,NM_001286683.1,NM_016228.3,NM_182662.1,XM_006714231.1	60.00	10.00	14.00	19.00	64.00	19.00	50.00	29.00	49.00	10.00	22.00	48.00
AAED1	NM_153698.1,XM_005251783.2,XM_005251784.2	101.00	61.00	67.00	63.00	94.00	74.00	153.00	129.00	53.00	76.00	67.00	150.00
AAGAB	NM_001271885.1,NM_001271886.1,NM_024666.4,XM_005254664.1,XM_006720683.1	768.00	308.00	787.00	682.00	712.00	341.00	1359.00	1291.00	594.00	381.00	653.00	1359.00
